METRIC_L1,METRIC_L2,METRIC_L3,METRIC_L4,METRIC_L5,METRIC_L6,ACCOUNT_ID,DEPARTMENT_ID,CLASS_ID,LOCATION_ID,SUBSIDIARY_ID,ACCOUNT_NAME,DEPARTMENT_NAME
,,,,,,118,,,,35,Advances Paid,
,,,,,,118,,,,36,Advances Paid,
,,,,,,118,,,,37,Advances Paid,
,,,,,,118,,,,39,Advances Paid,
,,,,,,118,,,,41,Advances Paid,
,,,,,,118,,,,42,Advances Paid,
,,,,,,118,,,,43,Advances Paid,
,,,,,,118,,,,44,Advances Paid,
,,,,,,118,,,,45,Advances Paid,
Assets,Current Assets,Accounts Receivable,Accounts Receivable,,,119,,,,1,110000 Accounts Receivable,
Assets,Current Assets,Accounts Receivable,Accounts Receivable,,,119,,,,2,110000 Accounts Receivable,
Assets,Current Assets,Accounts Receivable,Accounts Receivable,,,119,,,,3,110000 Accounts Receivable,
