ACCOUNT_ID,ACCOUNT_NUMBER,SUBSIDIARY_ID,CLASS_ID,DEPARTMENT_ID,LOCATION_ID,Metric_Mapping
168,480000,,,,125,Sales
168,480000,,,,493,Sales
168,480000,,,,635,Sales
989,500500,,,,353,Sales
1765,100437,,,,57,
50,120100,,,,107,Assets
149,410200,,,,547,Sales
149,410200,,,,549,Sales
107,210500,,,,520,Liability
153,420200,,,,503,Sales
149,410200,,,,536,Sales
153,420200,,,,508,Sales
153,420200,,,,550,Sales
148,410100,,,,523,Sales
1710,480030,,,,114,Sales
150,410300,,,,126,Sales
1679,690060,,,,358,Marketing & Advertising
1679,690060,,,,349,Marketing & Advertising
119,230100,,,,533,Liability
200,620105,,,,565,Direct Operating Expense
201,620110,,,,572,Direct Operating Expense
178,600105,,,,507,Direct Operating Expense
1714,210430,,,,438,Liability
1616,140407,,,,210,Assets
1715,210501,,,,368,Liability
178,600105,,,,502,Direct Operating Expense
1638,480020,,,,498,Sales
102,200000,,,,498,Liability
102,200000,,,,498,Liability
102,200000,,,,499,Liability
42,101921,,,,501,Assets
1612,140403,,,,532,Assets
400,101999,,,,507,Assets
205,630105,,,,502,Direct Operating Expense
168,480000,,,,514,Sales
277,700280,,,,502,Field G&A
1710,480030,,,,635,Sales
149,410200,,,,553,Sales
149,410200,,,,501,Sales
1710,480030,,,,520,Sales
149,410200,,,,542,Sales
107,210500,,,,523,Liability
149,410200,,,,502,Sales
1710,480030,,,,613,Sales
107,210500,,,,496,Liability
1710,480030,,,,136,Sales
200,620105,,,,133,Direct Operating Expense
1679,690060,,,,56,Marketing & Advertising
1679,690060,,,,137,Marketing & Advertising
1679,690060,,,,355,Marketing & Advertising
200,620105,,,,135,Direct Operating Expense
108,210600,,,,115,Liability
202,620115,,,,478,Direct Operating Expense
202,620115,,,,450,Direct Operating Expense
178,600105,,,,475,Direct Operating Expense
202,620115,,,,451,Direct Operating Expense
202,620115,,,,524,Direct Operating Expense
275,700240,,,,522,Corporate G&A
1714,210430,,,,504,Liability
1638,480020,,,,522,Sales
102,200000,,,,131,Liability
102,200000,,,,506,Liability
102,200000,,,,356,Liability
227,660060,,,,118,Direct Operating Expense
102,200000,,,,346,Liability
102,200000,,,,487,Liability
102,200000,,,,496,Liability
989,500500,,,,481,Sales
148,410100,,,,347,Sales
148,410100,,,,517,Sales
178,600105,,,,62,Direct Operating Expense
1710,480030,,,,517,Sales
1711,480501,,,,548,Sales
201,620110,,,,440,Direct Operating Expense
200,620105,,,,108,Direct Operating Expense
201,620110,,,,109,Direct Operating Expense
57,130100,,,,545,Assets
1649,100625,,,,477,
183,600140,,,,496,Direct Operating Expense
102,200000,,,,477,Liability
874,600112,,,,436,Direct Operating Expense
42,101921,,,,351,Assets
41,101920,,,,142,Assets
168,480000,,,,508,Sales
400,101999,,,,122,Assets
168,480000,,,,524,Sales
50,120100,,,,519,Assets
201,620110,,,,361,Direct Operating Expense
201,620110,,,,519,Direct Operating Expense
201,620110,,,,508,Direct Operating Expense
