DIM_CLASS_ID,CLASS_NAME,PARENT_CLASS_NAME,ORGANIZATION_LEVEL_NAME,DIM_ORGANIZATION_ID
753,Playfly Sports Properties : High School : Mater Dei Sports Properties,Playfly Sports Properties,Sports Properties,PSP
667,Sport & Story : Production : Baylor (Baylor University),Sport & Story,Tech,TECH
305,Home Team Sports : Non-RSN : Minnesota Wild,Home Team Sports,Sports Properties,PSP
315,Playfly Global Partnerships : Sales : Playfly Esports : High School League,Playfly Global Partnerships,Global Partnerships,PGP
641,Home Team Sports : Non-RSN : Seattle Storm,Home Team Sports,Sports Properties,PSP
657,Playfly Global Partnerships : Sales : Playfly Access : Dallas Cowboys,Playfly Global Partnerships,Global Partnerships,PGP
651,Playfly Sports Properties : College : Virginia Tech Sports Properties,Playfly Sports Properties,Sports Properties,PSP
644,Playfly Global Partnerships : Sales : Playfly Access : Indiana Fever,Playfly Global Partnerships,Global Partnerships,PGP
622,Sport & Story : Newsletter : Patriot Brew (George Mason),Sport & Story,Tech,TECH
627,Sport & Story : Newsletter : Spartan Brew (San Jose State University),Sport & Story,Tech,TECH
766,Playfly Sports Properties : College : Texas A&M Sports Properties,Playfly Sports Properties,Sports Properties,PSP
760,Sport & Story : Production : FanDuel,Sport & Story,Tech,TECH
616,Gameday : Aspire : FRMC,Gameday,Sports Properties,PSP
755,Sport & Story : Production : Big East (Big East Conference),Sport & Story,Tech,TECH
457,Sport & Story : Subscription : Mississippi State (Hail State+),Sport & Story,Tech,TECH
515,Digital Media : Non-RSN : Memphis Grizzlies - Digital,Digital Media,Media,MEDIA
633,Playfly Global Partnerships : Consulting : Property Consulting,Playfly Global Partnerships,Global Partnerships,PGP
473,Digital Media : RSN : Altitude - Digital,Digital Media,Media,MEDIA
632,Sport & Story : Subscription : Baylor University (Baylor+),Sport & Story,Tech,TECH
617,Gameday : Aspire : SAM,Gameday,Sports Properties,PSP
468,Playfly Global Partnerships : Sales : Playfly Access : Tampa Bay Rays,Playfly Global Partnerships,Global Partnerships,PGP
467,Playfly Global Partnerships : Sales : Playfly Access : Milwaukee Brewers,Playfly Global Partnerships,Global Partnerships,PGP
452,Digital Media,Digital Media,Media,MEDIA
462,Playfly Global Partnerships : Sales : Playfly Access : Oklahoma City Thunder,Playfly Global Partnerships,Global Partnerships,PGP
451,Playfly Sports Properties : High School : MSHSL Sports Properties,Playfly Sports Properties,Sports Properties,PSP
659,Playfly Global Partnerships : Sales : Playfly Access : Carolina Panthers,Playfly Global Partnerships,Global Partnerships,PGP
638,Home Team Sports : RSN : MLB Network San Diego Padres,Home Team Sports,Sports Properties,PSP
521,Digital Media : Non-RSN : Phoenix Suns - Digital,Digital Media,Media,MEDIA
313,Home Team Sports : RSN : HTS Admin,Home Team Sports,Sports Properties,PSP
307,Home Team Sports : Non-RSN : NY Mets,Home Team Sports,Sports Properties,PSP
745,Sport & Story : Production : Wisconsin-Green Bay,Sport & Story,Tech,TECH
761,Playfly Sports Properties : College : Washington State Sports Properties,Playfly Sports Properties,Sports Properties,PSP
776,Playfly Sports Properties : Playfly Max : Michigan State University,Playfly Sports Properties,Sports Properties,PSP
665,Sport & Story : Production : Inside Villanova Basketball (Villanova University),Sport & Story,Tech,TECH
643,Playfly Sports Properties : College : Penn State Sports Properties,Playfly Sports Properties,Sports Properties,PSP
649,Playfly Global Partnerships : Sales : Playfly Access : Atlanta Braves,Playfly Global Partnerships,Global Partnerships,PGP
464,Playfly Global Partnerships : Sales : Playfly Access : Houston Astros,Playfly Global Partnerships,Global Partnerships,PGP
623,Sport & Story : Newsletter : Playfly Brew,Sport & Story,Tech,TECH
732,Playfly Sports Properties : Playfly Max : Penn State University,Playfly Sports Properties,Sports Properties,PSP
777,Playfly Sports Properties : Playfly Max : Texas A&M University,Playfly Sports Properties,Sports Properties,PSP
762,Playfly Sports Properties : Playfly Max : Auburn University,Playfly Sports Properties,Sports Properties,PSP
767,Sport & Story : Production : PSU Pre-Game Show,Sport & Story,Tech,TECH
631,Vision Insights : Media,Vision Insights,Corporate,CORP
754,Sport & Story : Production : PSU Stadium (Penn State),Sport & Story,Tech,TECH
472,Playfly Global Partnerships : Sales : Playfly Access : San Antonio Spurs,Playfly Global Partnerships,Global Partnerships,PGP
514,Digital Media : Non-RSN : Carolina Hurricanes - Digital,Digital Media,Media,MEDIA
615,Gameday : Aspire,Gameday,Sports Properties,PSP
469,Playfly Global Partnerships : Sales : Playfly Access : New Orleans Pelicans,Playfly Global Partnerships,Global Partnerships,PGP
628,Sport & Story : Newsletter : UTSA,Sport & Story,Tech,TECH
620,Sport & Story : Newsletter : Monarch Brew (Old Dominion),Sport & Story,Tech,TECH
453,Sport & Story,Sport & Story,Tech,TECH
612,Playfly Global Partnerships : Sales : Playfly Access : Pittsburgh Pirates,Playfly Global Partnerships,Global Partnerships,PGP
461,Playfly Global Partnerships : Sales : Playfly Access : Dallas Stars (DSE Hockey Club LP),Playfly Global Partnerships,Global Partnerships,PGP
477,Digital Media : RSN : Bally Sports Arizona - Digital,Digital Media,Media,MEDIA
636,Playfly Global Partnerships : Consulting : Brand Consulting,Playfly Global Partnerships,Global Partnerships,PGP
519,Digital Media : Non-RSN : OK Thunder - Digital,Digital Media,Media,MEDIA
309,Home Team Sports : Non-RSN : Phoenix Suns,Home Team Sports,Sports Properties,PSP
751,Playfly Sports Properties : College : Appalachian State Sports Properties,Playfly Sports Properties,Sports Properties,PSP
743,Corporate - Tech,Corporate - Tech,Corporate,CORP
669,Home Team Sports : RSN : SportsNet Pittsburgh,Home Team Sports,Sports Properties,PSP
661,Playfly Global Partnerships : Sales : Playfly Access : UCF Knights,Playfly Global Partnerships,Global Partnerships,PGP
758,Paragon Sports Marketing,Paragon Sports Marketing,Corporate,CORP
759,Playfly Global Partnerships : Consulting : Brand Consulting : Paragon,Playfly Global Partnerships,Global Partnerships,PGP
645,Playfly Global Partnerships : Sales : Playfly Access : Los Angeles Angels,Playfly Global Partnerships,Global Partnerships,PGP
653,Sport & Story : Newsletter : Spiders Brew (Univ of Richmond),Sport & Story,Tech,TECH
463,Playfly Global Partnerships : Sales : Playfly Access : Atlanta Hawks,Playfly Global Partnerships,Global Partnerships,PGP
466,Playfly Global Partnerships : Sales : Playfly Access : LSU Tigers,Playfly Global Partnerships,Global Partnerships,PGP
626,Data Activation,Data Activation,Tech,TECH
621,Sport & Story : Newsletter : Spartan Brew (Michigan State),Sport & Story,Tech,TECH
765,Playfly Sports Properties : High School : Manitoba Sports Properties,Playfly Sports Properties,Sports Properties,PSP
764,Playfly Global Partnerships : Sales : Playfly Access : Miami Marlins,Playfly Global Partnerships,Global Partnerships,PGP
757,Sport & Story : Production : Highmark Health,Sport & Story,Tech,TECH
756,Playfly Global Partnerships : Sales : Playfly Access : Nashville Predators,Playfly Global Partnerships,Global Partnerships,PGP
471,Playfly Global Partnerships : Sales : Playfly Access : Indiana Pacers,Playfly Global Partnerships,Global Partnerships,PGP
458,Owned Media,Owned Media,Media,MEDIA
629,Sport & Story : Newsletter : Paradise Brew (Florida Atlantic University),Sport & Story,Tech,TECH
618,Gameday : Aspire : Training,Gameday,Sports Properties,PSP
474,Digital Media : RSN : AT&T SportsNet Pittsburgh - Digital,Digital Media,Media,MEDIA
613,Playfly Global Partnerships : Sales : Playfly Access : Washington Nationals,Playfly Global Partnerships,Global Partnerships,PGP
455,Home Team Sports : Non-RSN,Home Team Sports,Sports Properties,PSP
479,Digital Media : RSN : Bally Sports Florida - Digital,Digital Media,Media,MEDIA
311,Home Team Sports : Non-RSN : San Antonio Spurs,Home Team Sports,Sports Properties,PSP
610,Sport & Story : Newsletter : Trojan Brew (USC),Sport & Story,Tech,TECH
517,Digital Media : Non-RSN : New Orleans Pelicans - Digital,Digital Media,Media,MEDIA
634,Playfly Global Partnerships : Sales : Premier Partnerships : Host City Services,Playfly Global Partnerships,Global Partnerships,PGP
749,Playfly Global Partnerships : Sales : Playfly Access : Los Angeles Clippers,Playfly Global Partnerships,Global Partnerships,PGP
741,Sport & Story : Podcast : Tailgate Talks (University of South Carolina),Sport & Story,Tech,TECH
303,Home Team Sports : Non-RSN : Carolina Hurricanes,Home Team Sports,Sports Properties,PSP
493,Digital Media : RSN : COX Media/Southwest - Digital,Digital Media,Media,MEDIA
655,Owned Media : Sportsfeed,Owned Media,Media,MEDIA
674,Digital Media : RSN : Scripps Network Arizona Coyotes - Digital,Digital Media,Media,MEDIA
663,Home Team Sports : RSN : Monumental Sports Network,Home Team Sports,Sports Properties,PSP
298,Home Team Sports : RSN : Bally Sports Southern Cal,Home Team Sports,Sports Properties,PSP
647,Playfly Global Partnerships : Sales : Playfly Access : Oakland Athletics,Playfly Global Partnerships,Global Partnerships,PGP
301,Home Team Sports : RSN : Spectrum Reach Sportsnet LA,Home Team Sports,Sports Properties,PSP
705,Sport & Story : Podcast : WarEagle+ Podcast Network (Auburn University),Sport & Story,Tech,TECH
293,Home Team Sports : RSN : Bally Sports Southeast,Home Team Sports,Sports Properties,PSP
738,Playfly Sports Properties : College : Penn State Sports Properties : Alumni Association,Playfly Sports Properties,Sports Properties,PSP
727,Sport & Story : Podcast : Good in the Game (The National Football Foundation),Sport & Story,Tech,TECH
730,Playfly Sports Properties : Playfly Max : Baylor University,Playfly Sports Properties,Sports Properties,PSP
735,Sport & Story : Production : UMES Documentary (First Point Volleyball Foundation),Sport & Story,Tech,TECH
262,Home Team Sports : RSN : COX Media/Southwest,Home Team Sports,Sports Properties,PSP
501,Digital Media : RSN : NBC Sports California - Digital,Digital Media,Media,MEDIA
